Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
QZAYGJVTTNCVMB-UHFFFAOYNA-N,5202,3359,A,6.85078,pubchem,552111,9606,HTR3A,2102,OC1=CC=2C(CCN)=CNC2C=C1
QSQQQURBVYWZKJ-UHFFFAOYNA-N,CHEMBL30713,3359,A,5.0,chembl20,965131,9606,HTR3A,2102,C1(=CNC2=C1C=CC=C2)CC(N)C
CIBFBHWSAKKIPN-UHFFFAOYNA-N,CHEMBL2169968,3359,A,6.27,chembl20,864726,9606,HTR3A,2102,C=1C(=CC=C2C=CC=CC12)N3CCN(CC3)C
CZWQBSKNHUVZLI-UHFFFAOYNA-N,CHEMBL1770373,3359,A,5.64,chembl20,744884,9606,HTR3A,2102,N=1C(CC=2C=CC=CC2)=NC=3CCNCCC3C1
CUQCMXFWIMOWRP-COZUNNQVNA-N,CHEMBL13791,3359,N,4.1,chembl20,689120,9606,HTR3A,2102,C(N=C(N)N)(=NC1=CC=CC=C1)N
DTBALPGNCWCVJP-UHFFFAOYNA-N,CHEMBL68281,3359,A,6.62,chembl20,3478,9606,HTR3A,2102,C1(=NC2=CC=CC=C2N1CC=C)N3CCNCC3
DIHXJZHAIHGSAW-MSNMYWDFNA-N,CHEMBL13790,3359,A,5.8,chembl20,689120,9606,HTR3A,2102,C(N=C(N)N)(=NC=1C=C(Cl)C=CC1)N
GHCKERHPOQWERJ-UHFFFAOYNA-N,CHEMBL148204,3359,A,6.0,chembl20,766545,9606,HTR3A,2102,N1=C2C(C=CC(=C2)N)=CC=3C1=CC=CC3
GVOCXQUIZNWEMU-YAQRNVERNA-N,14712103,3359,N,,pubchem,616534,9606,HTR3A,2102,N(CCC=1NC=NC1)CC2=CC=CC=C2
GTUIQNHJSXQMKW-UHFFFAOYNA-N,24795080,3359,A,6.1549,pubchem,704948,9606,HTR3A,2102,ClC=1OC(C(=O)N2CC3C(C2)CNC3)=CC1
MUOXAGUZMVATIC-UHFFFAOYNA-N,CHEMBL453996,3359,A,6.51,chembl20,564831,9606,HTR3A,2102,C=1C=C2C=C(C=CC2=CC1)OCC3CCNCC3
NZXGDKLTTHIYTB-NDKGDYFDNA-N,CHEMBL292066,3359,A,7.72,chembl20,3480,9606,HTR3A,2102,C1(=NC=2C=CC=CC2N1)N3CCNCC3
QPKAPAVYCGEURE-UHFFFAOYNA-N,CHEMBL443764,3359,A,8.87,chembl20,864726,9606,HTR3A,2102,C1=CC2=NC(=NC=C2C=C1)N3CCN(CC3)C
VBKOTIVQMCTTAQ-VMIOWZCSNA-N,9904281,3359,A,6.76447,pubchem,315628,9606,HTR3A,2102,ClC=1C2=C(NC(=NC2)N)C=CC1Cl
VBKOTIVQMCTTAQ-XLPACQNMNA-N,CHEMBL1548,3359,A,6.76,chembl20,463654,9606,HTR3A,2102,C1(=CC=C2N=C(NCC2=C1Cl)N)Cl
WIPPGLNWEIAUEV-LLDOCCBONA-N,CHEMBL1824047,3359,A,6.1,chembl20,766545,9606,HTR3A,2102,C1=CC=CC(CCCN=C(N)N)=C1
XRXDAJYKGWNHTQ-UHFFFAOYNA-N,5011,3359,A,8.4318,pubchem,297966,9606,HTR3A,2102,N1(CCNCC1)C=2N=C3C(=CC2)C=CC=C3
WYWNEDARFVJQSG-UHFFFAOYNA-N,CHEMBL266591,3359,A,5.92,chembl20,3466,9606,HTR3A,2102,C=1C(=CC=2C(=C(NC2C1)C)CCN)O
XWTAQEXSIBGWRM-UHFFFAOYNA-N,CHEMBL563848,3359,A,5.4,chembl20,851152,9606,HTR3A,2102,C12CCN(CC1)CCN2C(OC3=CC=CC=C3)=O
BPPGPYJBCVXILI-UHFFFAOYNA-N,CHEMBL364005,3359,A,7.47,chembl20,321408,9606,HTR3A,2102,C1(=C(NC=2C1=CC(=CC2)Cl)C)C3=CCNCC3
CFMSRRKPZHTMEX-UHFFFAOYNA-N,CHEMBL2169966,3359,A,8.79,chembl20,864726,9606,HTR3A,2102,C=1C(=NC=C2C=CC=CC12)N3CCN(CC3)C
CXJLWJAYGMWLRR-UHFFFAOYNA-N,CHEMBL611082,3359,A,7.89,chembl20,851152,9606,HTR3A,2102,C12CCN(CC1)CCN2C3=NC4=C(O3)C=CC=C4
GBRCKQVRLPIGIR-UHFFFAOYNA-N,CHEMBL2169974,3359,A,6.48,chembl20,864726,9606,HTR3A,2102,N=1C(=CC=C2C=CC=C(C12)N)N3CCN(CC3)C
BSNKYWSMUAGMDO-UHFFFAOYNA-N,11184481,3359,A,8.30103,pubchem,460743,9606,HTR3A,2102,O1C(N2C3CCN(CC3)CC2)=NC=4N=C(C=CC14)C
HIWIXUJADKOVEP-UHFFFAOYNA-N,CHEMBL597843,3359,A,6.24,chembl20,851152,9606,HTR3A,2102,C12CCN(CC1)CCN2C3=NC=4C(O3)=CC=CN4
HOMWNUXPSJQSSU-UHFFFAOYNA-N,CHEMBL288591,3359,A,9.34,chembl20,864726,9606,HTR3A,2102,N1=C(N2CCN(CC2)C)C=CC=3C1=CC=CC3
HNDAZSYDBSRFST-UHFFFAOYNA-N,CHEMBL123137,3359,A,8.33,chembl20,864726,9606,HTR3A,2102,N1=C(N2CCN(CC2)C)C=NC=3C1=CC=CC3
JJKSXCUVAHBTLA-UHFFFAOYNA-N,CHEMBL2169973,3359,A,6.69,chembl20,864726,9606,HTR3A,2102,N=1C(=CC=C2C(=CC=CC12)N)N3CCN(CC3)C
LDGNYEXMQRXXIW-UHFFFAOYNA-N,CHEMBL2169890,3359,A,8.13,chembl20,864726,9606,HTR3A,2102,N1=C(N=CC2=CC(=CC=C12)Cl)N3CCN(CC3)C
NGQQPARRDBDNPB-UHFFFAOYNA-N,53237438,3359,A,7.4437,pubchem,712522,9606,HTR3A,2102,ClC1=CC=C(SC=2C(N3CCNCC3)=CC=CC2)C=C1
PKPRDSSAMMLSLJ-UHFFFAOYNA-N,11709098,3359,A,7.1549,pubchem,460743,9606,HTR3A,2102,ClC=1C=C2OC(N3C4CCN(CC4)CC3)=NC2=NC1C
PKWXICSBZZLGCF-UHFFFAOYNA-N,CHEMBL260565,3359,A,6.6,chembl20,766545,9606,HTR3A,2102,C1=CC2=NC(=CC=C2C=C1Cl)N3CCN(CC3)C
RSUDGRCQQXSDOO-UHFFFAOYNA-N,CHEMBL2169967,3359,A,6.39,chembl20,864726,9606,HTR3A,2102,C1=C(C=NC2=CC=CC=C12)N3CCN(CC3)C
XFMPGBXLGWZMQP-BLJPFOPQNA-N,CHEMBL404372,3359,A,5.97,chembl20,464433,9606,HTR3A,2102,C1=CC=C2N=C(N[C@H](C2=C1Cl)C)N
XFMPGBXLGWZMQP-MWEJZKJPNA-N,44456033,3359,A,5.97375,pubchem,316407,9606,HTR3A,2102,ClC1=C2[C@@H](N=C(NC2=CC=C1)N)C
ZHSLKEYCKRMUKN-UHFFFAOYNA-N,53237435,3359,A,7.19382,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1)C3=CC=CC=C3
ABSDJNLAUZQHJY-UHFFFAOYNA-N,CHEMBL2205048,3359,A,7.21,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)SC=3C=C(C=CC3)OC
CQSHZMQFBNWFEG-UHFFFAOYNA-N,CHEMBL2205036,3359,A,6.51,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=C(C2)C)SC=3C=CC=CC3
CYZKHRQTZRUXRT-UHFFFAOYNA-N,CHEMBL2205039,3359,A,6.36,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=C(C2)C)SC=3C=CC(=CC3)F
ANTKBACNWQHQJE-UHFFFAOYNA-N,CHEMBL1242950,3359,A,6.0,chembl20,659608,9606,HTR3A,2102,C1(CCCC)CCN(CCCC(C=2C(=CC=CC2)C)=O)CC1
FFNWMBDISAYHDC-UHFFFAOYNA-N,CHEMBL287045,3359,A,6.9,chembl20,564428,9606,HTR3A,2102,C(C1=C(C=C(C(=C1)Cl)N)OC)(=O)OCCN(CC)CC
FGDWUDRNOXESRS-UHFFFAOYNA-N,53237669,3359,A,7.284,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1)C=3C(OC)=CC=CC3
FKFNPTZCZKTCNF-GPQMBLKYNA-N,CHEMBL414183,3359,A,7.9,chembl20,766545,9606,HTR3A,2102,C1(=NC2=CC=CC=C2N=C1O)N3CCN(CC3)C
HAMAPMMCMQNNBY-UHFFFAOYNA-N,21864917,3359,A,7.25181,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1)C3=CC=C(C=C3)C
GRQDDYOXJKSBNX-YHSKDTNENA-N,CHEMBL2169970,3359,A,8.84,chembl20,864726,9606,HTR3A,2102,N=1C(=CC(=C2C=CC=CC12)N)N3CCN(CC3)C
IRNHNTVMAZMVND-UHFFFAOYNA-N,53237667,3359,A,7.19382,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1)C=3C=C(C=CC3)C
IONCWLLKDMISKP-UHFFFAOYNA-N,CHEMBL2204363,3359,A,8.14,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)SC=3C(=CC(=CC3)C)Cl
JJNKQQZKWYVYGT-UHFFFAOYNA-N,CHEMBL2205035,3359,A,6.57,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)OC=3C(=CC(=CC3)C)C
KJVGBWURWKYDCH-YGPBECBDNA-N,CHEMBL475331,3359,A,10.29,chembl20,864726,9606,HTR3A,2102,C1=CC2=NC(=NC(=C2C=C1)N)N3CCN(CC3)C
LQLAPWUVEHKEPV-UHFFFAOYNA-N,53237436,3359,A,7.4437,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1)C3=CC=C(OC)C=C3
LZFIKFXIHTZOJR-HCKMINDGNA-N,CHEMBL1824048,3359,A,8.8,chembl20,766545,9606,HTR3A,2102,C=1C=C2C(NC(=N2)C=C3CCN(CC3)C)=CC1Cl
LZFIKFXIHTZOJR-WYUMXYHSNA-N,56672434,3359,A,8.80134,pubchem,616534,9606,HTR3A,2102,ClC1=CC=2N=C(NC2C=C1)C=C3CCN(CC3)C
MNJNPLVXBISNSX-UHFFFAOYNA-N,1683,3359,A,8.02687,pubchem,346456,9606,HTR3A,2102,ClC1=CC(C(OC2CC3N(C(CC3)C2)C)=O)=CC(Cl)=C1
MBWUFSQDLZYQLA-UHFFFAOYNA-N,53237671,3359,A,7.49485,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1)C=3C(=CC=CC3)C
NRJJRVIMKKANAW-UHFFFAOYNA-N,1408942,3359,N,,pubchem,616534,9606,HTR3A,2102,N1(CCN(CC1)C)C=2N=CN=C(C2)C3=CC=CC=C3
NLWMJOOAJCUQKB-UHFFFAOYNA-N,CHEMBL2205053,3359,A,6.96,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)SC=3C=C(C(=CC3)Cl)Cl
OJGZHBJNBKIPHW-WYUMXYHSNA-N,CHEMBL329179,3359,A,8.71,chembl20,3465,9606,HTR3A,2102,N=1C(C=2C(F)=CC=CC2)=CSC1CC=3N=CNC3C
OLLHYYCQHNBTQC-UHFFFAOYNA-N,CHEMBL479683,3359,A,5.6,chembl20,1296927,9606,HTR3A,2102,C=1C=C(C=CC1)CCC2=CC(C=3C(O2)=CC=CC3O)=O
PELIXYXPUAFHOR-YHSKDTNENA-N,CHEMBL473302,3359,A,7.92,chembl20,864726,9606,HTR3A,2102,C=1C=C2N=C(N3CCN(CC3)C)N=C(C2=CC1Cl)N
OCKIPDMKGPYYJS-ZDUSSCGKNA-N,9794392,3359,A,7.92082,pubchem,690410,9606,HTR3A,2102,O1[C@@]2(C3CCN(C2)CC3)CC=4C1=NC=CC4
OGPREQIZGSIMHW-JLGFQASFNA-N,71459241,3359,N,,pubchem,709378,9606,HTR3A,2102,O=C(NC1=NNC(C(C)(C)C)=C1)CCCN2CCCCC2
MJSSERWIBBMXQD-UHFFFAOYNA-N,CHEMBL611369,3359,A,6.11,chembl20,611801,9606,HTR3A,2102,C12CCN(CCN1C3=NC4=C(O3)C=C(C=N4)Br)CC2
QHJZTYYNXIQQNW-UHFFFAOYNA-N,CHEMBL2204359,3359,A,7.59,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)SC=3C(=CC(=CC3)Cl)Cl
QKMVBIUHVBVHGX-UHFFFAOYNA-N,CHEMBL2205044,3359,A,7.28,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)SC=3C=CC(=CC3)F
RONZAEMNMFQXRA-UHFFFAOYNA-N,CHEMBL654,3359,A,5.54,chembl20,988340,9606,HTR3A,2102,N12C(C3=C(C=CC=C3)CC4=C1N=CC=C4)CN(CC2)C
RLSGBCUXLRMTPF-UHFFFAOYNA-N,CHEMBL83954,3359,A,5.7,chembl20,564428,9606,HTR3A,2102,O(C(C=1C=C(C(=CC1OC)N)Cl)=O)CCCN2CCCCC2
VDFLDQVKOMEZEL-WYUMXYHSNA-N,CHEMBL2169969,3359,A,7.87,chembl20,864726,9606,HTR3A,2102,N=1C(=CC(=C2C=CC=CC12)NC)N3CCN(CC3)C
SDWUPSHVUBKGKN-YAQRNVERNA-N,CHEMBL38465,3359,A,8.74,chembl20,3465,9606,HTR3A,2102,N1=C(CC=2N=CNC2C)SC=C1C3=CC=CC=C3
SECBCZUIMWWSPE-UHFFFAOYNA-N,53238120,3359,A,7.92082,pubchem,712522,9606,HTR3A,2102,ClC1=C(SC=2C(N3CCNCC3)=CC=CC2)C=CC(OC)=C1
XJNOJISWTROLSF-UHFFFAOYNA-N,CHEMBL597241,3359,A,6.32,chembl20,851149,9606,HTR3A,2102,C12CCN(CCN1C3=NC4=C(O3)C=C(C=N4)Cl)CC2
YABLRALLVGHPFP-UHFFFAOYNA-N,11572597,3359,A,5.48017,pubchem,460743,9606,HTR3A,2102,O1C(N2C3CCN(CC3)CC2)=NC=4N=C(C=CC14)CC
WTRJSQBNDURZJN-UHFFFAOYNA-N,53237430,3359,A,6.30103,pubchem,712522,9606,HTR3A,2102,ClC1=CC=C(SC2=C(N3CCNCC3)C=C(C=C2)C)C=C1
WWOMJAJTOOLHDS-GPQMBLKYNA-N,CHEMBL2169964,3359,A,7.33,chembl20,864726,9606,HTR3A,2102,C1=CC=CC=2C1=C(O)N=C(N3CCN(CC3)C)N2
YMNXOJIOGVVKPL-YHSKDTNENA-N,CHEMBL2169972,3359,A,6.66,chembl20,864726,9606,HTR3A,2102,C=1(N=C(C=C2C=CC=CC12)N3CCN(CC3)C)N
ZSDSOMKIKNSFJG-UHFFFAOYNA-N,53237896,3359,A,7.17393,pubchem,712522,9606,HTR3A,2102,ClC1=C(SC=2C(N3CCNCC3)=CC=CC2)C=CC=C1Cl
ZINGRQZUIVEPKX-UHFFFAOYNA-N,44592241,3359,A,6.39362,pubchem,416802,9606,HTR3A,2102,O(CC1CCNCC1)C2=CC3=C(C=C2)C=CC(=C3)C#N
ZLUOOMMZUAJVNO-UHFFFAOYNA-N,CHEMBL597440,3359,A,5.61,chembl20,611801,9606,HTR3A,2102,C12CCN(CCN1C3=NC4=C(O3)C=C(C=N4)F)CC2
ATBPRFXCCZLQCU-KHCWMJRFNA-N,CHEMBL40260,3359,A,8.48,chembl20,3470,9606,HTR3A,2102,C1(C=2N=C(CN=C(N)N)SC2)=CNC=3C1=CC=CC3
ADYMTDFOOCWUHC-UHFFFAOYNA-N,CHEMBL305582,3359,A,8.13,chembl20,3480,9606,HTR3A,2102,C=1(N(C2=CC=CC=C2N1)CCC3=CC=CC=C3)N4CCNCC4
BPUACIBQBJYAPM-UHFFFAOYNA-N,CHEMBL2204355,3359,A,7.1,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)SC=3C(=C(C=CC3)OC)OC
BNASSGFQLMOZKG-LILDFLRNNA-N,CHEMBL471712,3359,A,6.24,chembl20,864726,9606,HTR3A,2102,C=1C=C2N=C(N3CCN(CC3)C)N=C(C2=CC1Cl)O
CEOCEXSTLLSYBV-LILDFLRNNA-N,CHEMBL116913,3359,A,7.27,chembl20,3473,9606,HTR3A,2102,C=12C(NC3CCN(CC3)CCOCCOC1C=C(C(=C2)Cl)N)=O
CZPMNOSNQHHGTD-UHFFFAOYNA-N,CHEMBL471663,3359,A,5.0,chembl20,564583,9606,HTR3A,2102,N=1C=2C=CSC2N3C=CC=C3C1OCC4CCN(CC4)CCCC
CZXYEUKDTXJZAI-UHFFFAOYNA-N,53238132,3359,A,6.17393,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1C)C3=C(C=C(C=C3)C)C
AOOSJYIINXVNHV-UHFFFAOYNA-N,CHEMBL68131,3359,A,6.8,chembl20,564428,9606,HTR3A,2102,O1CCOC=2C1=C(C(=CC2C(=O)OCC3CCN(CC3)CCCC)Cl)N
AOWDEXMOARHNIR-UHFFFAOYNA-N,53237900,3359,A,7.49485,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1)C3=C(OC)C=C(OC)C=C3
FZGWDCDUMFWUEO-UHFFFAOYNA-N,CHEMBL470432,3359,A,8.16,chembl20,564583,9606,HTR3A,2102,N=1C=2SC=C(C)C2N3C=CC=C3C1OCC4CCN(CC4)CCC
DVSMVUMYJDOPJQ-UHFFFAOYNA-N,CHEMBL3104091,3359,A,5.0,chembl20,1283847,9606,HTR3A,2102,C1CC2=C(N3C=4C1=CC=CC4C5=C3CCN(C5)C)C=CC=C2
DULFTXXWXGBQBT-UHFFFAOYNA-N,CHEMBL66918,3359,A,8.77,chembl20,3480,9606,HTR3A,2102,C=1(N(C2=CC=CC=C2N1)CC3=CC=C(C=C3)C)N4CCNCC4
DZZIAERGLDKTBT-UHFFFAOYNA-N,49783415,3359,A,5.45457,pubchem,517063,9606,HTR3A,2102,O(CC1CCN(CC1)CCCC)C(=O)C=2C=C(OC)C(N)=CC2
FELGMEQIXOGIFQ-UHFFFAOYNA-N,CHEMBL46,3359,A,10.05,chembl20,880244,9606,HTR3A,2102,O=C1C2=C(N(C3=C2C=CC=C3)C)CCC1CN4C(=NC=C4)C
FEROPKNOYKURCJ-GPQMBLKYNA-N,CHEMBL18041,3359,A,9.41,chembl20,1283847,9606,HTR3A,2102,C1(C(NC2CN3CCC2CC3)=O)=C(C=C(C(=C1)Cl)N)OC
WZTXOCTVZQCERW-VEWCPZSHNA-N,CHEMBL128,3359,A,8.03,chembl20,3459,9606,HTR3A,2102,S(O)(O)(=CC=1C=C2C(=CNC2=CC1)CCN(C)C)=NC
XKGPHJMKJBEURD-UHFFFAOYNA-N,CHEMBL3104093,3359,A,6.3,chembl20,1283847,9606,HTR3A,2102,C12=C(CCN3C=4C1=CC=CC4C5=C3CCN(C5)C)C=CC=C2
HGRHWEAUHXYNNP-UHFFFAOYNA-N,CHEMBL2391541,3359,A,5.0,chembl20,965131,9606,HTR3A,2102,C=1(C=CC2=C(C1)C(=CN2)CCN(CC=C)CC=C)OC
IFZNYQPTDBKBSE-UHFFFAOYNA-N,CHEMBL2204357,3359,A,7.54,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)SC=3C(=C(C=CC3)C)C
GTMRUYCIJSNXGB-UHFFFAOYNA-N,11173546,3359,A,6.82391,pubchem,690443,9606,HTR3A,2102,N1(CC2C(C1)CN(C2)C3=NN=C(C=C3)C=4C=CC=CC4)C
JIXSQOGACRDRDG-UHFFFAOYNA-N,CHEMBL2205040,3359,A,6.59,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=C(C2)C)SC=3C=CC(=CC3)C
GLWWAUFFFXRHOL-UHFFFAOYNA-N,CHEMBL489060,3359,A,8.18,chembl20,864726,9606,HTR3A,2102,C1=C(C=C2C(N=C(N3CCN(CC3)C)N=C2N(C)C)=C1)Cl
GNITVWLUINGTBR-WYUMXYHSNA-N,CHEMBL489062,3359,A,8.95,chembl20,864726,9606,HTR3A,2102,C1=C(C=C2C(N=C(N3CCN(CC3)C)N=C2NC)=C1)Cl
IQDHHFRBYSXXIU-UHFFFAOYNA-N,CHEMBL1958134,3359,A,7.89,chembl20,805903,9606,HTR3A,2102,C1(C=C(C=NN1C)C=2C=CC(=CC2)OCCCN3CCCCC3)=O
KOCIMJYSVMTYIG-UHFFFAOYNA-N,53237892,3359,A,7.48149,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1)C3=CC(=C(C=C3)C)C
KVWDHTXUZHCGIO-UHFFFAOYNA-N,CHEMBL715,3359,A,6.0,chembl20,1329312,9606,HTR3A,2102,C12=C(NC3=CC=CC=C3N=C1N4CCN(CC4)C)SC(=C2)C
NADMOKMSPBJASV-HCKMINDGNA-N,CHEMBL93919,3359,A,9.38,chembl20,3465,9606,HTR3A,2102,N=1C(C=2C(OC)=CC=CC2)=CSC1CC=3NC=NC3C
OMMHQUDWONZRDG-UHFFFAOYNA-N,53237661,3359,A,6.85387,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1)C3=CC=C(C=C3)C(F)(F)F
OMRBXLRIRPGSJD-UHFFFAOYNA-N,CHEMBL2205031,3359,A,7.35,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC(=CC2)C)SC=3C(=CC(=CC3)C)C
ONIODQRFDDUVAG-UHFFFAOYNA-N,CHEMBL2205033,3359,A,6.89,chembl20,880265,9606,HTR3A,2102,N1(CCN(CC1)C)C=2C(=CC=CC2)SC=3C(=CC(=CC3)C)C
NIJGWJIOMPHDBP-ZHLVXTBQNA-N,CHEMBL492884,3359,A,5.9,chembl20,766545,9606,HTR3A,2102,N1=C(N)N=C(N2CCN(CC2)C)C=C1C=3C=CC=CC3
PWWDCRQZITYKDV-UHFFFAOYNA-N,CHEMBL56900,3359,A,9.44,chembl20,3480,9606,HTR3A,2102,C=1(N(C2=CC=CC=C2N1)CC3=CC=CC=C3)N4CCNCC4
QTTLTCXANBZETA-UHFFFAOYNA-N,CHEMBL2205047,3359,A,6.35,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)SC=3C=CC(=CC3)C(C)(C)C
QZUDBNBUXVUHMW-UHFFFAOYNA-N,CHEMBL42,3359,A,6.73,chembl20,932184,9606,HTR3A,2102,N1=C(C=2C(=CC=CC2)NC=3C1=CC(=CC3)Cl)N4CCN(CC4)C
RGLVXEXQIZDZCD-UHFFFAOYNA-N,CHEMBL304534,3359,A,8.1,chembl20,3480,9606,HTR3A,2102,C1(=NC2=CC=CC=C2N1CCCC3=CC=CC=C3)N4CCNCC4
QNJWNYDKHQYCPI-UHFFFAOYNA-N,CHEMBL2204362,3359,A,7.77,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)SC=3C(=CC(=CC3)C)OC
RQBRUGMHSQYCNU-UHFFFAOYNA-N,CHEMBL3104092,3359,A,5.0,chembl20,1283847,9606,HTR3A,2102,C1C2=C(CN3C=4C1=CC=CC4C5=C3CCN(C5)C)C=CC=C2
RYAZLYGDKFCFKI-UHFFFAOYNA-N,CHEMBL2205034,3359,A,7.57,chembl20,880265,9606,HTR3A,2102,N1(CCNCCC1)C=2C(=CC=CC2)SC=3C(=CC(=CC3)C)C
RZFPSYUVZCCIFI-UHFFFAOYNA-N,CHEMBL511312,3359,A,6.0,chembl20,564583,9606,HTR3A,2102,N1=C(C2=CC=CN2C=3SC=CC31)OCC4CCN(CC4)CC
QGJVXXSJZAPJME-UHFFFAOYNA-N,CHEMBL565547,3359,A,5.43,chembl20,599284,9606,HTR3A,2102,C1(=NC2=C(CCNCC2)C3=NC(=NN13)C)CC4=CC=CC=C4
UXDSQRDGBDALMX-UHFFFAOYNA-N,CHEMBL2205052,3359,A,7.07,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)SC=3C=C(C(=CC3)OC)OC
SSOHJAKQLOENEM-HCKMINDGNA-N,17982621,3359,A,7.30277,pubchem,709621,9606,HTR3A,2102,S1C(C(=O)NC2C3CCN(C2)CC3)=CC=4C1=CC=CC4
